,user,Tweet Text,location
101,behindYouCapt,"RT @IramKiani: Just wanted to introduce @CMShehbaz 
He is criminal, murderer, corrupt, money Launderer.
And he became a prime Minister of P…",
102,mamoon75uk,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",
103,msahmed1983,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…",Saudi Arabia
104,Muhamma07047937,"RT @ptipromote1: ❤ Picture of the Day

#امپورٹڈ_حکومت_نامنظور https://t.co/Fe5RW8wEnr",
105,asghar_maleeha,"Attempt to steel Shareef family records from NAB.
Torturing of senior citizens at Marionette hotel by beggars.
Pana… https://t.co/6Nv2bnwDjQ",
106,Afzal_lhe,"RT @jdofficials3: Me trying to understand the Difference between ""Sazish"" and 
""Mudakhlat""😂🤣
@ImranRiazKhan and @SdqJaan
Aapko to pta hoga…",
107,usman_najmal,"RT @iMAmirkhi: We are Ready My Leader Karachi starts welcoming you from now on we are waiting for your words InshaAllah.
#سازش_نہیں_مداخلت…",
108,Anum90877448,RT @ImranKhanRiaz1: It seems like there is nothing that can stop Pakistanis from going to PTI Rallies against the Imported Government! Tota…,
109,QADEER_G,RT @QADEER_G: Only pakistan #امپورٹڈ_حکومت_نامنظور,"Luton, England"
110,Aks49976844,"@dailydotdev Plzhelp🇵🇰
#worldpleasehelpPakistan
@ImranKhanPTI
  zindabad 
#GeneralQamarbajwa
#PAFCHIEFZAHEERBABAR… https://t.co/bxbW0XqkK0",
111,Hknyazee,RT @IRSoothsayer: This is definitely a world record of most people singing national anthem together .. #امپورٹڈ_حکومت_نامنظور  https://t.co…,
112,ranaadnan5,RT @PTIofficial: Hammad Azhar (@Hammad_Azhar ) presenting the 2 days performance of the imported government! #امپورٹڈ_حکومت_نامنظور https:/…,
113,ibtasamkhalil10,"RT @junaiz98: ""Youth is ill-informed""

Dear DG ISPR! 

This is insult!The youth is very well informed. This isn't 70's, this is 2022! They'…",
114,NadeemSCGPP,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",پاکستان
115,ExplorePakistan,"RT @ZainUlA42286268: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/eyqI…","Lahore,Pakistan "
116,sadia_sabeen,"RT @AsraAhm22205174: @Lalika79 We need! @ImranKhanPTI 
#امپورٹڈ_حکومت_نامنظور",
117,ShanGhani1,RT @farhanabbasi06: We stand by our BRAVE &amp; HONEST leader #امپورٹڈ_حکومت_نامنظور https://t.co/uV8mfrcMqV,"Punjab, Pakistan"
118,farhans85851131,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…",
119,tehseeninter,"RT @ptiik12: Allah SWT protect you
 ALL say Ameen
#امپورٹڈ_حکومت_نامنظور https://t.co/7BrNiGUjOR","Karachi, Pakistan"
120,parsashayk,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",
121,SyedFahadJamal1,"RT @Sufia__J: #امپورٹڈ_حکومت_نامنظور
#BehindYouSkipper 

Long live Imran Khan 🇵🇰
May every hurdle will remove and win is always yours
Ameen…","Karachi, Pakistan"
122,FarooqA41135612,"💔If you think I'm anti Army so you should see
#ImportedGovtNotAcceptable
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت
D… https://t.co/BQgZ1XeDKc","Karachi, Pakistan"
123,ZaidRaej,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
124,Bilal0041Hayat,"RT @Shbazgillfan: A person who stood firm in the face of falsehood.
Who was fired from his job for supporting the right.
Who always motivat…",Bradford UK
125,dumb_ness,"RT @_TariqAhmedKhan: In One day,the question is HOW? #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور https://t.co/qXJyXrTa25",
126,SaadiQabil,"RT @drsalmankhan55: ""If a Law is Unjust, A man is not only right to disobey it, He is obligated to do so"" 
Thomas Jefferson. 

#امپورٹڈ_حکو…",
127,kanwal_khalid_r,"@annie_khalid Yes yes yes 
#امپورٹڈ_حکومت_نامنظور",
128,Faisal71320360,there is clear dal mai kala after DGISPR PRESS CONFERENCE #امپورٹڈ_حکومت_نامنظور,
129,MalikAadiboy,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",Lahore
130,MereJanPak92,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",
131,Mohamma07133305,"RT @Hamza_sheiku: I stand against imported government
#امپورٹڈ_حکومت_نامنظور https://t.co/qCMrAB1Hnp",
132,AbidAli11332101,"RT @Abdulhadi051: Salute to all these brave journalists for standing against imported government.

@ImranRiazKhan
#امپورٹڈ_حکومت_نامنظور
#س…",
133,MRSAJAD13,Look how helpless it is today that Imran Khan is gone and there is no one to answer back. The message of the Denmar… https://t.co/4oAcKxPN11,"Islamabad, Pakistan"
134,reenum6,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
135,DarkScott,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
Conspiracy Vs interference is like he is not dead but not anymore!!!! https://t.…","Rawalpindi, Pakistan."
136,Zunaira87691414,"RT @Shbazgillfan: Ye unk liye joh kehtey Hain absolutely fraud.Hope of Islamic countries and the leader of Islamic republic of Pakistan.
We…",
137,d4CNovC801Ogx4S,"RT @zulfiqar_yz: ""When you soar like an eagle, you attract the hunters.""

-Milton S Gould.

#ImranKhanPrimeMinister
#امپورٹڈ_حکومت_نامنظور…","دبي, الامارات العربية المتحدة"
138,WaqarAh63445234,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",
139,skhuram74,"RT @MumtazAli___: If he had run away like nawaz, people wouldn't have trusted him. People are ready to die for him because he's ready to di…","Ile-de-France, France"
140,BushraK88,RT @zartajgulwazir: This lousy imported puppet regime is so rattled by the massive sustained outpouring of youth that it is considering ban…,"Rawalpindi, Pakistan"
141,Hknyazee,RT @UzmaSal89226874: We stand for our respecte and dignity #امپورٹڈ_حکومت_نامنظور since:2022-04-06_17:14:05_UTC,
